"BC7" "Males" "Females" "DateDDMMYY" "TimeHHMM" "ScanYYMMDDHHMM" "ScanExperimenter"
"137" "2800583" "0" "0" "111122" "1157" "1157" "022"
"138" "2800588" "0" "0" "111122" "1157" "1157" "022"
"139" "2800593" "0" "0" "111122" "1157" "1157" "022"
"140" "2800598" "0" "0" "111122" "1157" "1157" "022"
"141" "2800504" "0" "0" "111122" "1157" "1157" "022"
"142" "2800509" "0" "0" "111122" "1157" "1157" "022"
"143" "2800514" "0" "0" "111122" "1157" "1157" "022"
"144" "2800519" "0" "0" "111122" "1157" "1157" "022"
"145" "2800524" "0" "0" "111122" "1158" "1158" "022"
"146" "2800529" "0" "0" "111122" "1158" "1158" "022"
"147" "2800534" "0" "0" "111122" "1158" "1158" "022"
"148" "2800539" "0" "0" "111122" "1158" "1158" "022"
"149" "2800544" "0" "0" "111122" "1158" "1158" "022"
"150" "2800549" "0" "0" "111122" "1158" "1158" "022"
"151" "2800554" "0" "0" "111122" "1159" "1159" "022"
"152" "2800559" "0" "0" "111122" "1159" "1159" "022"
"153" "2800564" "0" "0" "111122" "1159" "1159" "022"
"154" "2800569" "0" "0" "111122" "1159" "1159" "022"
"155" "2800574" "0" "0" "111122" "1159" "1159" "022"
"156" "2800579" "0" "0" "111122" "1159" "1159" "022"
"157" "2800584" "0" "0" "111122" "1159" "1159" "022"
"158" "2800594" "0" "0" "111122" "1159" "1159" "022"
"159" "2800589" "0" "0" "111122" "1159" "1159" "022"
"160" "2800599" "0" "0" "111122" "1159" "1159" "022"
"161" "2800505" "0" "0" "111122" "1159" "1159" "022"
"162" "2800510" "0" "0" "111122" "1200" "1200" "022"
"163" "2800515" "0" "0" "111122" "1200" "1200" "022"
"164" "2800520" "0" "0" "111122" "1200" "1200" "022"
"165" "2800525" "0" "0" "111122" "1200" "1200" "022"
"166" "2800530" "0" "0" "111122" "1200" "1200" "022"
"167" "2800535" "0" "0" "111122" "1200" "1200" "022"
"168" "2800540" "0" "0" "111122" "1200" "1200" "022"
"169" "2800550" "0" "0" "111122" "1200" "1200" "022"
"170" "2800545" "0" "0" "111122" "1200" "1200" "022"
"171" "2800555" "0" "0" "111122" "1200" "1200" "022"
"172" "2800560" "0" "0" "111122" "1200" "1200" "022"
"173" "2800565" "0" "0" "111122" "1200" "1200" "022"
"174" "2800570" "0" "0" "111122" "1200" "1200" "022"
"175" "2800575" "0" "0" "111122" "1200" "1200" "022"
"176" "2800580" "0" "0" "111122" "1201" "1201" "022"
"177" "2800585" "0" "0" "111122" "1201" "1201" "022"
"178" "2800590" "0" "0" "111122" "1201" "1201" "022"
"179" "2800595" "0" "0" "111122" "1201" "1201" "022"
"180" "2800600" "0" "0" "111122" "1201" "1201" "022"
"181" "2800401" "0" "0" "111122" "1201" "1201" "022"
"182" "2800406" "0" "0" "111122" "1201" "1201" "022"
"183" "2800411" "0" "0" "111122" "1201" "1201" "022"
"184" "2800416" "0" "0" "111122" "1201" "1201" "022"
"185" "2800421" "0" "0" "111122" "1201" "1201" "022"
"186" "2800426" "0" "0" "111122" "1201" "1201" "022"
"187" "2800431" "0" "0" "111122" "1201" "1201" "022"
"188" "2800436" "0" "0" "111122" "1202" "1202" "022"
"189" "2800441" "0" "0" "111122" "1202" "1202" "022"
"190" "2800446" "0" "0" "111122" "1202" "1202" "022"
"191" "2800451" "0" "0" "111122" "1202" "1202" "022"
"192" "2800456" "0" "0" "111122" "1202" "1202" "022"
"193" "2800461" "0" "0" "111122" "1202" "1202" "022"
"194" "2800466" "0" "0" "111122" "1202" "1202" "022"
"195" "2800471" "0" "0" "111122" "1202" "1202" "022"
"196" "2800476" "0" "0" "111122" "1202" "1202" "022"
"197" "2800481" "0" "0" "111122" "1202" "1202" "022"
"198" "2800486" "0" "0" "111122" "1202" "1202" "022"
"199" "2800491" "0" "0" "111122" "1202" "1202" "022"
"200" "2800496" "0" "0" "111122" "1202" "1202" "022"
"201" "2800402" "0" "0" "111122" "1203" "1203" "022"
"202" "2800407" "0" "0" "111122" "1203" "1203" "022"
"203" "2800412" "0" "0" "111122" "1203" "1203" "022"
"204" "2800417" "0" "0" "111122" "1203" "1203" "022"
"205" "2800422" "0" "0" "111122" "1203" "1203" "022"
"206" "2800427" "0" "0" "111122" "1203" "1203" "022"
"207" "2800432" "0" "0" "111122" "1204" "1204" "022"
"208" "2800437" "0" "0" "111122" "1204" "1204" "022"
"209" "2800442" "0" "0" "111122" "1204" "1204" "022"
"210" "2800447" "0" "0" "111122" "1204" "1204" "022"
"211" "2800452" "0" "0" "111122" "1204" "1204" "022"
"212" "2800457" "0" "0" "111122" "1204" "1204" "022"
"213" "2800462" "0" "0" "111122" "1204" "1204" "022"
"214" "2800467" "0" "0" "111122" "1204" "1204" "022"
"215" "2800472" "0" "0" "111122" "1204" "1204" "022"
"216" "2800477" "0" "0" "111122" "1204" "1204" "022"
"217" "2800482" "0" "0" "111122" "1205" "1205" "022"
"218" "2800487" "0" "0" "111122" "1205" "1205" "022"
"219" "2800492" "0" "0" "111122" "1205" "1205" "022"
"220" "2800497" "0" "0" "111122" "1205" "1205" "022"
"221" "2800403" "0" "0" "111122" "1205" "1205" "022"
"222" "2800408" "0" "0" "111122" "1205" "1205" "022"
"223" "2800413" "0" "0" "111122" "1205" "1205" "022"
"224" "2800418" "0" "0" "111122" "1205" "1205" "022"
"225" "2800423" "0" "0" "111122" "1205" "1205" "022"
"226" "2800428" "0" "0" "111122" "1205" "1205" "022"
"227" "2800433" "0" "0" "111122" "1205" "1205" "022"
"228" "2800438" "0" "0" "111122" "1205" "1205" "022"
"229" "2800443" "0" "0" "111122" "1205" "1205" "022"
"230" "2800448" "0" "0" "111122" "1206" "1206" "022"
"231" "2800453" "0" "0" "111122" "1206" "1206" "022"
"232" "2800458" "0" "0" "111122" "1206" "1206" "022"
"233" "2800463" "0" "0" "111122" "1206" "1206" "022"
"234" "2800468" "0" "0" "111122" "1206" "1206" "022"
"235" "2800473" "0" "0" "111122" "1206" "1206" "022"
"236" "2800478" "0" "0" "111122" "1206" "1206" "022"
"237" "2800483" "0" "0" "111122" "1206" "1206" "022"
"238" "2800488" "0" "0" "111122" "1206" "1206" "022"
"239" "2800493" "0" "0" "111122" "1206" "1206" "022"
"240" "2800498" "0" "0" "111122" "1206" "1206" "022"
"241" "2800404" "0" "0" "111122" "1206" "1206" "022"
"242" "2800409" "0" "0" "111122" "1207" "1207" "022"
"243" "2800414" "0" "0" "111122" "1207" "1207" "022"
"244" "2800419" "0" "0" "111122" "1207" "1207" "022"
"245" "2800424" "0" "0" "111122" "1207" "1207" "022"
"246" "2800429" "0" "0" "111122" "1207" "1207" "022"
"247" "2800434" "0" "0" "111122" "1207" "1207" "022"
"248" "2800439" "0" "0" "111122" "1207" "1207" "022"
"249" "2800444" "0" "0" "111122" "1207" "1207" "022"
"250" "2800449" "0" "0" "111122" "1207" "1207" "022"
"251" "2800454" "0" "0" "111122" "1208" "1208" "022"
"252" "2800459" "0" "0" "111122" "1208" "1208" "022"
"253" "2800464" "0" "0" "111122" "1208" "1208" "022"
"254" "2800469" "0" "0" "111122" "1208" "1208" "022"
"255" "2800474" "0" "0" "111122" "1208" "1208" "022"
"256" "2800479" "0" "0" "111122" "1208" "1208" "022"
"257" "2800484" "0" "0" "111122" "1208" "1208" "022"
"258" "2800489" "0" "0" "111122" "1208" "1208" "022"
"259" "2800494" "0" "0" "111122" "1208" "1208" "022"
"260" "2800499" "0" "0" "111122" "1208" "1208" "022"
"261" "2800405" "0" "0" "111122" "1208" "1208" "022"
"262" "2800410" "0" "0" "111122" "1209" "1209" "022"
"263" "2800415" "0" "0" "111122" "1209" "1209" "022"
"264" "2800420" "0" "0" "111122" "1209" "1209" "022"
"265" "2800425" "0" "0" "111122" "1209" "1209" "022"
"266" "2800430" "0" "0" "111122" "1209" "1209" "022"
"267" "2800435" "0" "0" "111122" "1209" "1209" "022"
"268" "2800440" "0" "0" "111122" "1209" "1209" "022"
"269" "2800445" "0" "0" "111122" "1209" "1209" "022"
"270" "2800450" "0" "0" "111122" "1209" "1209" "022"
"271" "2800455" "0" "0" "111122" "1209" "1209" "022"
"272" "2800460" "0" "0" "111122" "1209" "1209" "022"
"273" "2800465" "0" "0" "111122" "1209" "1209" "022"
"274" "2800470" "0" "0" "111122" "1209" "1209" "022"
"275" "2800475" "0" "0" "111122" "1210" "1210" "022"
"276" "2800480" "0" "0" "111122" "1210" "1210" "022"
"277" "2800485" "0" "0" "111122" "1210" "1210" "022"
"278" "2800490" "0" "0" "111122" "1210" "1210" "022"
"279" "2800495" "0" "0" "111122" "1210" "1210" "022"
"280" "2800500" "0" "0" "111122" "1210" "1210" "022"
"281" "2800301" "0" "0" "111122" "1210" "1210" "022"
"282" "2800306" "0" "0" "111122" "1210" "1210" "022"
"283" "2800311" "0" "0" "111122" "1210" "1210" "022"
"284" "2800316" "0" "0" "111122" "1210" "1210" "022"
"285" "2800321" "0" "0" "111122" "1210" "1210" "022"
"286" "2800326" "0" "0" "111122" "1210" "1210" "022"
"287" "2800331" "0" "0" "111122" "1210" "1210" "022"
"288" "2800336" "0" "0" "111122" "1211" "1211" "022"
"289" "2800341" "0" "0" "111122" "1211" "1211" "022"
"290" "2800346" "0" "0" "111122" "1211" "1211" "022"
"291" "2800351" "0" "0" "111122" "1211" "1211" "022"
"292" "2800356" "0" "0" "111122" "1211" "1211" "022"
"293" "2800361" "0" "0" "111122" "1211" "1211" "022"
"294" "2800366" "0" "0" "111122" "1211" "1211" "022"
"295" "2800371" "0" "0" "111122" "1214" "1214" "022"
"296" "2800376" "0" "0" "111122" "1214" "1214" "022"
"297" "2800381" "0" "0" "111122" "1214" "1214" "022"
"298" "2800386" "0" "0" "111122" "1214" "1214" "022"
"299" "2800391" "0" "0" "111122" "1214" "1214" "022"
"300" "2800396" "0" "0" "111122" "1214" "1214" "022"
"301" "2800302" "0" "0" "111122" "1215" "1215" "022"
"302" "2800307" "0" "0" "111122" "1215" "1215" "022"
"303" "2800312" "0" "0" "111122" "1215" "1215" "022"
"304" "2800317" "0" "0" "111122" "1215" "1215" "022"
"305" "2800322" "0" "0" "111122" "1215" "1215" "022"
"306" "2800327" "0" "0" "111122" "1215" "1215" "022"
"307" "2800332" "0" "0" "111122" "1215" "1215" "022"
"308" "2800337" "0" "0" "111122" "1215" "1215" "022"
"309" "2800342" "0" "0" "111122" "1216" "1216" "022"
"310" "2800347" "0" "0" "111122" "1216" "1216" "022"
"311" "2800352" "0" "0" "111122" "1216" "1216" "022"
"312" "2800357" "0" "0" "111122" "1216" "1216" "022"
"313" "2800362" "0" "0" "111122" "1216" "1216" "022"
"314" "2800367" "0" "0" "111122" "1216" "1216" "022"
"315" "2800372" "0" "0" "111122" "1216" "1216" "022"
"316" "2800377" "0" "0" "111122" "1216" "1216" "022"
"317" "2800382" "0" "0" "111122" "1216" "1216" "022"
"318" "2800387" "0" "0" "111122" "1216" "1216" "022"
"319" "2800392" "0" "0" "111122" "1216" "1216" "022"
"320" "2800397" "0" "0" "111122" "1216" "1216" "022"
"321" "2800626" "13" "20" "121122" "0933" "0933" "022"
"322" "2800646" "9" "2" "121122" "0934" "0934" "022"
"323" "2800686" "0" "2" "121122" "0934" "0934" "022"
"324" "2800607" "1" "8" "121122" "0935" "0935" "022"
"325" "2800608" "0" "2" "121122" "0936" "0936" "022"
"326" "2800648" "6" "8" "121122" "0937" "0937" "022"
"327" "2800668" "24" "15" "121122" "0940" "0940" "022"
"328" "2800688" "4" "9" "121122" "0941" "0941" "022"
"329" "2800609" "14" "18" "121122" "0945" "0945" "022"
"330" "2800629" "1" "4" "121122" "0946" "0946" "022"
"331" "2800649" "14" "12" "121122" "0948" "0948" "022"
"332" "2800669" "1" "3" "121122" "0948" "0948" "022"
"333" "2800689" "19" "13" "121122" "0950" "0950" "022"
"334" "2800507" "2" "12" "121122" "0955" "0955" "022"
"335" "2800527" "0" "1" "121122" "0955" "0955" "022"
"336" "2800547" "0" "1" "121122" "0956" "0956" "022"
"337" "2800509" "1" "3" "121122" "0956" "0956" "022"
"338" "2800514" "1" "1" "121122" "0957" "0957" "022"
"339" "2800534" "0" "1" "121122" "0958" "0958" "022"
"340" "2800569" "1" "1" "121122" "0958" "0958" "022"
"341" "2800594" "4" "9" "121122" "0959" "0959" "022"
"342" "2800606" "4" "5" "131122" "1100" "1100" "022"
"343" "2800626" "3" "4" "131122" "1101" "1101" "022"
"344" "2800631" "1" "1" "131122" "1102" "1102" "022"
"345" "2800646" "12" "15" "131122" "1103" "1103" "022"
"346" "2800686" "14" "19" "131122" "1106" "1106" "022"
"347" "2800607" "24" "10" "131122" "1107" "1107" "022"
"348" "2800627" "15" "13" "131122" "1109" "1109" "022"
"349" "2800647" "3" "12" "131122" "1110" "1110" "022"
"350" "2800667" "9" "13" "131122" "1112" "1112" "022"
"351" "2800687" "0" "1" "131122" "1113" "1113" "022"
"352" "2800608" "17" "20" "131122" "1115" "1115" "022"
"353" "2800628" "6" "3" "131122" "1116" "1116" "022"
"354" "2800638" "2" "4" "131122" "1117" "1117" "022"
"355" "2800648" "9" "13" "131122" "1119" "1119" "022"
"356" "2800668" "1" "0" "131122" "1123" "1123" "022"
"357" "2800673" "0" "3" "131122" "1123" "1123" "022"
"358" "2800688" "14" "5" "131122" "1125" "1125" "022"
"359" "2800609" "6" "0" "131122" "1126" "1126" "022"
"360" "2800629" "20" "16" "131122" "1127" "1127" "022"
"361" "2800649" "5" "0" "131122" "1128" "1128" "022"
"362" "2800669" "17" "15" "131122" "1131" "1131" "022"
"363" "2800674" "2" "0" "131122" "1131" "1131" "022"
"364" "2800689" "3" "1" "131122" "1132" "1132" "022"
"365" "2800694" "0" "4" "131122" "1133" "1133" "022"
"366" "2800506" "0" "1" "131122" "1133" "1133" "022"
"367" "2800546" "8" "21" "131122" "1135" "1135" "022"
"368" "2800566" "1" "6" "131122" "1136" "1136" "022"
"369" "2800507" "20" "6" "131122" "1141" "1141" "022"
"370" "2800527" "12" "22" "131122" "1144" "1144" "022"
"371" "2800547" "20" "20" "131122" "1146" "1146" "022"
"372" "2800567" "2" "8" "131122" "1147" "1147" "022"
"373" "2800587" "19" "16" "131122" "1149" "1149" "022"
"374" "2800508" "4" "6" "131122" "1151" "1151" "022"
"375" "2800548" "7" "10" "131122" "1152" "1152" "022"
"376" "2800568" "1" "3" "131122" "1153" "1153" "022"
"377" "2800588" "2" "10" "131122" "1154" "1154" "022"
"378" "2800509" "26" "16" "131122" "1156" "1156" "022"
"379" "2800514" "8" "13" "131122" "1158" "1158" "022"
"380" "2800529" "6" "6" "131122" "1159" "1159" "022"
