"Line" "Population" "Treatment" "Setup" "Sex" "Embryo" "Total_Flies" "Dates" "Counts"
"122" 6 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.14" 0
"123" 6 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.15" 1
"124" 6 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.16" 2
"125" 6 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.17" 2
"126" 6 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.18" 0
"127" 6 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.19" 1
"128" 6 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.20" 0
"129" 6 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.21" 1
"130" 6 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.22" 0
"131" 6 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.23" 0
"132" 6 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.24" 0
"133" 6 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.25" 0
"134" 6 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.26" 0
"135" 6 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.27" 0
"136" 6 "9C" "10mM" "2021-12-01" "F" 25 7 "X2021.12.28" 0
"137" 7 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.12" 0
"138" 7 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.13" 0
"139" 7 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.14" 0
"140" 7 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.15" 0
"141" 7 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.16" 0
"142" 7 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.17" 0
"143" 7 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.18" 2
"144" 7 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.19" 1
"145" 7 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.20" 1
"146" 7 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.21" 0
"147" 7 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.22" 1
"148" 7 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.23" 0
"149" 7 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.24" 0
"150" 7 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.25" 0
"151" 7 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.26" 0
"152" 7 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.27" 0
"153" 7 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.28" 0
"154" 7 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.12" 0
"155" 7 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.13" 0
"156" 7 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.14" 0
"157" 7 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.15" 0
"158" 7 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.16" 1
"159" 7 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.17" 3
"160" 7 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.18" 1
"161" 7 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.19" 0
"162" 7 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.20" 0
"163" 7 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.21" 0
"164" 7 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.22" 0
"165" 7 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.23" 0
"166" 7 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.24" 0
"167" 7 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.25" 0
"168" 7 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.26" 0
"169" 7 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.27" 0
"170" 7 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.28" 0
"171" 8 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.12" 0
"172" 8 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.13" 0
"173" 8 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.14" 0
"174" 8 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.15" 0
"175" 8 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.16" 0
"176" 8 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.17" 2
"177" 8 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.18" 2
"178" 8 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.19" 1
"179" 8 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.20" 1
"180" 8 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.21" 0
"181" 8 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.22" 0
"182" 8 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.23" 0
"183" 8 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.24" 0
"184" 8 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.25" 0
"185" 8 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.26" 0
"186" 8 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.27" 0
"187" 8 "9C" "10mM" "2021-12-01" "M" 25 6 "X2021.12.28" 0
"188" 8 "9C" "10mM" "2021-12-01" "F" 25 8 "X2021.12.12" 0
"189" 8 "9C" "10mM" "2021-12-01" "F" 25 8 "X2021.12.13" 0
"190" 8 "9C" "10mM" "2021-12-01" "F" 25 8 "X2021.12.14" 0
"191" 8 "9C" "10mM" "2021-12-01" "F" 25 8 "X2021.12.15" 0
"192" 8 "9C" "10mM" "2021-12-01" "F" 25 8 "X2021.12.16" 0
"193" 8 "9C" "10mM" "2021-12-01" "F" 25 8 "X2021.12.17" 1
"194" 8 "9C" "10mM" "2021-12-01" "F" 25 8 "X2021.12.18" 2
"195" 8 "9C" "10mM" "2021-12-01" "F" 25 8 "X2021.12.19" 2
"196" 8 "9C" "10mM" "2021-12-01" "F" 25 8 "X2021.12.20" 0
"197" 8 "9C" "10mM" "2021-12-01" "F" 25 8 "X2021.12.21" 0
"198" 8 "9C" "10mM" "2021-12-01" "F" 25 8 "X2021.12.22" 1
"199" 8 "9C" "10mM" "2021-12-01" "F" 25 8 "X2021.12.23" 1
"200" 8 "9C" "10mM" "2021-12-01" "F" 25 8 "X2021.12.24" 0
"201" 8 "9C" "10mM" "2021-12-01" "F" 25 8 "X2021.12.25" 1
"202" 8 "9C" "10mM" "2021-12-01" "F" 25 8 "X2021.12.26" 0
"203" 8 "9C" "10mM" "2021-12-01" "F" 25 8 "X2021.12.27" 0
"204" 8 "9C" "10mM" "2021-12-01" "F" 25 8 "X2021.12.28" 0
"205" 9 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.12" 0
"206" 9 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.13" 0
"207" 9 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.14" 0
"208" 9 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.15" 1
"209" 9 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.16" 2
"210" 9 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.17" 1
"211" 9 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.18" 1
"212" 9 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.19" 0
"213" 9 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.20" 0
"214" 9 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.21" 0
"215" 9 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.22" 0
"216" 9 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.23" 0
"217" 9 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.24" 0
"218" 9 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.25" 0
"219" 9 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.26" 0
"220" 9 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.27" 0
"221" 9 "9C" "10mM" "2021-12-01" "M" 25 5 "X2021.12.28" 0
"222" 9 "9C" "10mM" "2021-12-01" "F" 25 2 "X2021.12.12" 0
"223" 9 "9C" "10mM" "2021-12-01" "F" 25 2 "X2021.12.13" 0
"224" 9 "9C" "10mM" "2021-12-01" "F" 25 2 "X2021.12.14" 0
"225" 9 "9C" "10mM" "2021-12-01" "F" 25 2 "X2021.12.15" 0
"226" 9 "9C" "10mM" "2021-12-01" "F" 25 2 "X2021.12.16" 0
"227" 9 "9C" "10mM" "2021-12-01" "F" 25 2 "X2021.12.17" 1
"228" 9 "9C" "10mM" "2021-12-01" "F" 25 2 "X2021.12.18" 0
"229" 9 "9C" "10mM" "2021-12-01" "F" 25 2 "X2021.12.19" 0
