"BC7" "NumDead" "DateDDMMYY" "TimeHHMM" "ScanYYMMDDHHMM" "ScanExperimenter"
"50" "2800355" "0" "191122" "1111" "2211191111" "022"
"51" "2800303" "0" "191122" "1112" "2211191112" "022"
"52" "2800308" "0" "191122" "1112" "2211191112" "022"
"53" "2800399" "0" "191122" "1112" "2211191112" "022"
"54" "2800353" "0" "191122" "1112" "2211191112" "022"
"55" "2800305" "0" "191122" "1112" "2211191112" "022"
"56" "2800349" "0" "191122" "1112" "2211191112" "022"
"57" "2800350" "0" "201122" "1133" "2211201133" "022"
"58" "2800369" "0" "201122" "1133" "2211201133" "022"
"59" "2800304" "0" "201122" "1133" "2211201133" "022"
"60" "2800354" "0" "201122" "1133" "2211201133" "022"
"61" "2800398" "0" "201122" "1133" "2211201133" "022"
"62" "2800348" "0" "201122" "1133" "2211201133" "022"
"63" "2800345" "0" "201122" "1133" "2211201133" "022"
"64" "2800309" "1" "201122" "1134" "2211201134" "022"
"65" "2800359" "1" "201122" "1134" "2211201134" "022"
"66" "2800393" "1" "201122" "1134" "2211201134" "022"
"67" "2800340" "1" "201122" "1134" "2211201134" "022"
"68" "2800343" "1" "201122" "1135" "2211201135" "022"
"69" "2800314" "3" "201122" "1135" "2211201135" "022"
"70" "2800364" "2" "201122" "1135" "2211201135" "022"
"71" "2800388" "2" "201122" "1135" "2211201135" "022"
"72" "2800319" "0" "201122" "1135" "2211201135" "022"
"73" "2800338" "1" "201122" "1136" "2211201136" "022"
"74" "2800335" "3" "201122" "1136" "2211201136" "022"
"75" "2800380" "0" "201122" "1136" "2211201136" "022"
"76" "2800330" "1" "201122" "1136" "2211201136" "022"
"77" "2800324" "3" "201122" "1136" "2211201136" "022"
"78" "2800333" "2" "201122" "1136" "2211201136" "022"
"79" "2800374" "0" "201122" "1137" "2211201137" "022"
"80" "2800383" "1" "201122" "1137" "2211201137" "022"
"81" "2800378" "1" "201122" "1137" "2211201137" "022"
"82" "2800328" "1" "201122" "1137" "2211201137" "022"
"83" "2800375" "2" "201122" "1138" "2211201138" "022"
"84" "2800329" "1" "201122" "1138" "2211201138" "022"
"85" "2800379" "0" "201122" "1138" "2211201138" "022"
"86" "2800325" "1" "201122" "1138" "2211201138" "022"
"87" "2800318" "2" "201122" "1138" "2211201138" "022"
"88" "2800373" "4" "201122" "1139" "2211201139" "022"
"89" "2800323" "2" "201122" "1139" "2211201139" "022"
"90" "2800368" "2" "201122" "1139" "2211201139" "022"
"91" "2800370" "0" "201122" "1139" "2211201139" "022"
"92" "2800334" "1" "201122" "1139" "2211201139" "022"
"93" "2800384" "1" "201122" "1140" "2211201140" "022"
"94" "2800320" "1" "201122" "1140" "2211201140" "022"
"95" "2800313" "1" "201122" "1140" "2211201140" "022"
"96" "2800363" "0" "201122" "1140" "2211201140" "022"
"97" "2800339" "0" "201122" "1141" "2211201141" "022"
"98" "2800389" "2" "201122" "1141" "2211201141" "022"
"99" "2800315" "0" "201122" "1141" "2211201141" "022"
"100" "2800365" "0" "201122" "1141" "2211201141" "022"
"101" "2800344" "3" "201122" "1141" "2211201141" "022"
"102" "2800394" "2" "201122" "1142" "2211201142" "022"
"103" "2800360" "1" "201122" "1142" "2211201142" "022"
"104" "2800310" "3" "201122" "1142" "2211201142" "022"
"105" "2800358" "1" "201122" "1142" "2211201142" "022"
"106" "2800355" "1" "201122" "1143" "2211201143" "022"
"107" "2800303" "1" "201122" "1143" "2211201143" "022"
"108" "2800308" "0" "201122" "1143" "2211201143" "022"
"109" "2800399" "2" "201122" "1143" "2211201143" "022"
"110" "2800353" "4" "201122" "1143" "2211201143" "022"
"111" "2800305" "1" "201122" "1144" "2211201144" "022"
"112" "2800349" "0" "201122" "1144" "2211201144" "022"
"113" "2800350" "0" "211122" "1038" "2211211038" "022"
"114" "2800369" "0" "211122" "1038" "2211211038" "022"
"115" "2800304" "0" "211122" "1038" "2211211038" "022"
"116" "2800354" "0" "211122" "1038" "2211211038" "022"
"117" "2800398" "0" "211122" "1038" "2211211038" "022"
"118" "2800348" "0" "211122" "1038" "2211211038" "022"
"119" "2800345" "12" "211122" "1039" "2211211039" "022"
"120" "2800309" "6" "211122" "1039" "2211211039" "022"
"121" "2800359" "5" "211122" "1039" "2211211039" "022"
"122" "2800393" "17" "211122" "1040" "2211211040" "022"
"123" "2800340" "6" "211122" "1040" "2211211040" "022"
"124" "2800343" "4" "211122" "1040" "2211211040" "022"
"125" "2800314" "13" "211122" "1041" "2211211041" "022"
"126" "2800364" "9" "211122" "1041" "2211211041" "022"
"127" "2800388" "12" "211122" "1041" "2211211041" "022"
"128" "2800319" "4" "211122" "1041" "2211211041" "022"
"129" "2800338" "11" "211122" "1042" "2211211042" "022"
"130" "2800335" "8" "211122" "1042" "2211211042" "022"
"131" "2800380" "5" "211122" "1042" "2211211042" "022"
"132" "2800330" "7" "211122" "1042" "2211211042" "022"
"133" "2800324" "10" "211122" "1043" "2211211043" "022"
"134" "2800333" "4" "211122" "1043" "2211211043" "022"
"135" "2800374" "0" "211122" "1043" "2211211043" "022"
"136" "2800383" "5" "211122" "1044" "2211211044" "022"
"137" "2800378" "9" "211122" "1044" "2211211044" "022"
"138" "2800328" "12" "211122" "1044" "2211211044" "022"
"139" "2800375" "9" "211122" "1044" "2211211044" "022"
"140" "2800329" "10" "211122" "1045" "2211211045" "022"
"141" "2800379" "2" "211122" "1045" "2211211045" "022"
"142" "2800325" "7" "211122" "1045" "2211211045" "022"
"143" "2800318" "9" "211122" "1045" "2211211045" "022"
"144" "2800373" "11" "211122" "1046" "2211211046" "022"
"145" "2800323" "10" "211122" "1046" "2211211046" "022"
"146" "2800368" "10" "211122" "1046" "2211211046" "022"
"147" "2800370" "4" "211122" "1046" "2211211046" "022"
"148" "2800334" "6" "211122" "1048" "2211211048" "022"
"149" "2800384" "9" "211122" "1048" "2211211048" "022"
"150" "2800320" "14" "211122" "1048" "2211211048" "022"
"151" "2800313" "14" "211122" "1049" "2211211049" "022"
"152" "2800363" "7" "211122" "1049" "2211211049" "022"
"153" "2800339" "7" "211122" "1049" "2211211049" "022"
"154" "2800389" "7" "211122" "1049" "2211211049" "022"
"155" "2800315" "5" "211122" "1050" "2211211050" "022"
"156" "2800365" "5" "211122" "1050" "2211211050" "022"
"157" "2800344" "13" "211122" "1050" "2211211050" "022"
"158" "2800394" "7" "211122" "1050" "2211211050" "022"
"159" "2800360" "7" "211122" "1050" "2211211050" "022"
"160" "2800310" "8" "211122" "1051" "2211211051" "022"
"161" "2800358" "9" "211122" "1051" "2211211051" "022"
"162" "2800355" "4" "211122" "1051" "2211211051" "022"
"163" "2800303" "8" "211122" "1051" "2211211051" "022"
"164" "2800308" "7" "211122" "1052" "2211211052" "022"
"165" "2800399" "16" "211122" "1052" "2211211052" "022"
"166" "2800353" "11" "211122" "1053" "2211211053" "022"
"167" "2800305" "7" "211122" "1053" "2211211053" "022"
"168" "2800349" "10" "211122" "1053" "2211211053" "022"
"169" "2800350" "0" "221122" "1000" "2211221000" "022"
"170" "2800369" "0" "221122" "1001" "2211221001" "022"
"171" "2800304" "0" "221122" "1003" "2211221003" "022"
"172" "2800354" "0" "221122" "1003" "2211221003" "022"
"173" "2800398" "0" "221122" "1005" "2211221005" "022"
"174" "2800348" "0" "221122" "1005" "2211221005" "022"
"175" "2800345" "18" "221122" "1006" "2211221006" "022"
"176" "2800309" "18" "221122" "1006" "2211221006" "022"
"177" "2800359" "13" "221122" "1006" "2211221006" "022"
"178" "2800393" "20" "221122" "1006" "2211221006" "022"
"179" "2800340" "18" "221122" "1007" "2211221007" "022"
"180" "2800343" "11" "221122" "1007" "2211221007" "022"
"181" "2800314" "19" "221122" "1007" "2211221007" "022"
"182" "2800364" "19" "221122" "1008" "2211221008" "022"
"183" "2800388" "17" "221122" "1008" "2211221008" "022"
"184" "2800319" "16" "221122" "1008" "2211221008" "022"
"185" "2800338" "21" "221122" "1009" "2211221009" "022"
"186" "2800335" "17" "221122" "1010" "2211221010" "022"
"187" "2800380" "13" "221122" "1010" "2211221010" "022"
"188" "2800330" "14" "221122" "1010" "2211221010" "022"
"189" "2800324" "19" "221122" "1010" "2211221010" "022"
"190" "2800333" "13" "221122" "1011" "2211221011" "022"
"191" "2800374" "11" "221122" "1011" "2211221011" "022"
"192" "2800383" "16" "221122" "1011" "2211221011" "022"
"193" "2800378" "17" "221122" "1012" "2211221012" "022"
"194" "2800328" "15" "221122" "1012" "2211221012" "022"
"195" "2800375" "18" "221122" "1012" "2211221012" "022"
"196" "2800329" "18" "221122" "1013" "2211221013" "022"
"197" "2800379" "12" "221122" "1013" "2211221013" "022"
"198" "2800325" "17" "221122" "1014" "2211221014" "022"
"199" "2800318" "19" "221122" "1015" "2211221015" "022"
"200" "2800373" "18" "221122" "1015" "2211221015" "022"
"201" "2800323" "18" "221122" "1015" "2211221015" "022"
"202" "2800368" "18" "221122" "1016" "2211221016" "022"
"203" "2800370" "9" "221122" "1016" "2211221016" "022"
"204" "2800334" "14" "221122" "1017" "2211221017" "022"
"205" "2800384" "12" "221122" "1018" "2211221018" "022"
"206" "2800320" "18" "221122" "1019" "2211221019" "022"
"207" "2800313" "18" "221122" "1019" "2211221019" "022"
"208" "2800363" "13" "221122" "1020" "2211221020" "022"
"209" "2800339" "17" "221122" "1021" "2211221021" "022"
"210" "2800389" "13" "221122" "1022" "2211221022" "022"
"211" "2800315" "16" "221122" "1022" "2211221022" "022"
"212" "2800365" "14" "221122" "1023" "2211221023" "022"
"213" "2800344" "16" "221122" "1023" "2211221023" "022"
"214" "2800394" "17" "221122" "1024" "2211221024" "022"
"215" "2800360" "14" "221122" "1024" "2211221024" "022"
"216" "2800310" "18" "221122" "1025" "2211221025" "022"
"217" "2800358" "16" "221122" "1025" "2211221025" "022"
"218" "2800355" "13" "221122" "1025" "2211221025" "022"
"219" "2800303" "18" "221122" "1025" "2211221025" "022"
"220" "2800308" "17" "221122" "1026" "2211221026" "022"
"221" "2800399" "19" "221122" "1026" "2211221026" "022"
"222" "2800353" "19" "221122" "1027" "2211221027" "022"
"223" "2800305" "16" "221122" "1027" "2211221027" "022"
"224" "2800349" "18" "221122" "1027" "2211221027" "022"
"225" "2800350" "0" "231122" "1014" "2211231014" "022"
"226" "2800369" "0" "231122" "1014" "2211231014" "022"
"227" "2800304" "0" "231122" "1014" "2211231014" "022"
"228" "2800354" "0" "231122" "1015" "2211231015" "022"
"229" "2800398" "0" "231122" "1015" "2211231015" "022"
"230" "2800348" "0" "231122" "1015" "2211231015" "022"
"231" "2800345" "20" "231122" "1018" "2211231018" "022"
"232" "2800309" "20" "231122" "1019" "2211231019" "022"
"233" "2800359" "19" "231122" "1019" "2211231019" "022"
"234" "2800393" "20" "231122" "1019" "2211231019" "022"
"235" "2800340" "20" "231122" "1020" "2211231020" "022"
"236" "2800343" "19" "231122" "1020" "2211231020" "022"
"237" "2800314" "20" "231122" "1020" "2211231020" "022"
"238" "2800364" "20" "231122" "1021" "2211231021" "022"
"239" "2800388" "20" "231122" "1021" "2211231021" "022"
"240" "2800319" "19" "231122" "1022" "2211231022" "022"
"241" "2800338" "21" "231122" "1022" "2211231022" "022"
"242" "2800335" "19" "231122" "1022" "2211231022" "022"
"243" "2800380" "19" "231122" "1023" "2211231023" "022"
"244" "2800330" "19" "231122" "1023" "2211231023" "022"
"245" "2800324" "20" "231122" "1024" "2211231024" "022"
"246" "2800333" "18" "231122" "1024" "2211231024" "022"
"247" "2800374" "20" "231122" "1025" "2211231025" "022"
"248" "2800383" "19" "231122" "1025" "2211231025" "022"
"249" "2800378" "20" "231122" "1026" "2211231026" "022"
"250" "2800328" "19" "231122" "1026" "2211231026" "022"
"251" "2800375" "19" "231122" "1027" "2211231027" "022"
"252" "2800329" "19" "231122" "1027" "2211231027" "022"
"253" "2800379" "19" "231122" "1028" "2211231028" "022"
"254" "2800325" "20" "231122" "1028" "2211231028" "022"
